Lam,logF03,logF04,logF05,logF06,logF07,logF08,logF09,logF10
189.2,-1.9760,-0.6310,0.0855,-2.0870,-1.9505,-1.6180,-1.2465,-0.7830
192.0,-1.9320,-0.6510,0.0625,-2.0320,-1.9035,-1.6000,-1.2475,-0.7950
194.0,-1.9520,-0.6460,0.0695,-2.0550,-1.9235,-1.6100,-1.2505,-0.7940
196.4,-1.9360,-0.6530,0.0605,-2.0370,-1.9065,-1.6020,-1.2495,-0.7970
198.9,-1.8860,-0.6620,0.0465,-1.9730,-1.8525,-1.5750,-1.2415,-0.8010
201.2,-1.9260,-0.6720,0.0405,-2.0150,-1.8915,-1.6040,-1.2615,-0.8160
203.7,-1.9000,-0.6820,0.0265,-1.9840,-1.8645,-1.5910,-1.2615,-0.8230
206.3,-1.9060,-0.6930,0.0165,-1.9860,-1.8675,-1.5980,-1.2705,-0.8340
208.8,-1.6290,-0.6650,0.0145,-1.6630,-1.5665,-1.3830,-1.1375,-0.7660
211.2,-1.6710,-0.6770,0.0075,-1.7100,-1.6135,-1.4220,-1.1665,-0.7850
213.7,-1.7000,-0.6970,-0.0105,-1.7390,-1.6445,-1.4510,-1.1935,-0.8100
216.2,-1.7050,-0.7050,-0.0185,-1.7470,-1.6525,-1.4590,-1.2025,-0.8180
218.7,-1.5620,-0.6860,-0.0195,-1.5870,-1.5015,-1.3440,-1.1265,-0.7800
221.2,-1.5890,-0.7080,-0.0395,-1.6150,-1.5315,-1.3740,-1.1565,-0.8080
223.7,-1.4750,-0.6940,-0.0455,-1.4910,-1.4145,-1.2810,-1.0945,-0.7780
226.2,-1.6750,-0.7480,-0.0725,-1.7110,-1.6255,-1.4550,-1.2215,-0.8570
228.7,-1.6070,-0.7400,-0.0765,-1.6390,-1.5565,-1.3990,-1.1835,-0.8360
231.2,-1.5740,-0.7460,-0.0885,-1.6030,-1.5235,-1.3760,-1.1725,-0.8370
233.7,-1.7800,-0.8080,-0.1225,-1.8210,-1.7345,-1.5560,-1.3095,-0.9310
236.2,-1.7120,-0.8080,-0.1335,-1.7470,-1.6665,-1.5060,-1.2815,-0.9220
238.7,-1.8340,-0.8470,-0.1585,-1.8750,-1.7885,-1.6070,-1.3565,-0.9730
241.2,-1.7040,-0.8290,-0.1585,-1.7350,-1.6575,-1.5050,-1.2895,-0.9390
243.7,-1.4810,-0.7740,-0.1455,-1.5010,-1.4345,-1.3170,-1.1495,-0.8540
246.2,-1.5380,-0.7970,-0.1595,-1.5630,-1.4955,-1.3700,-1.1915,-0.8830
248.7,-1.6500,-0.8470,-0.1915,-1.6850,-1.6125,-1.4710,-1.2715,-0.9390
250.6,-1.5460,-0.8100,-0.1735,-1.5760,-1.5085,-1.3820,-1.2025,-0.8930
251.9,-1.7250,-0.8560,-0.1865,-1.7710,-1.6915,-1.5300,-1.3075,-0.9540
253.7,-1.5430,-0.8330,-0.2005,-1.5630,-1.4975,-1.3800,-1.2125,-0.9160
256.2,-1.3180,-0.7620,-0.1785,-1.3230,-1.2675,-1.1820,-1.0595,-0.8230
258.7,-1.4540,-0.8140,-0.1985,-1.4700,-1.4145,-1.3160,-1.1705,-0.8970
261.2,-1.5060,-0.8400,-0.2155,-1.5260,-1.4705,-1.3690,-1.2155,-0.9300
263.7,-1.1280,-0.7000,-0.1755,-1.1260,-1.0765,-1.0100,-0.9205,-0.7360
266.2,-0.9710,-0.6240,-0.1565,-0.9630,-0.9165,-0.8600,-0.7895,-0.6430
268.7,-1.0220,-0.6540,-0.1735,-1.0160,-0.9695,-0.9100,-0.8345,-0.6770
271.2,-1.1290,-0.7140,-0.2005,-1.1280,-1.0805,-1.0140,-0.9255,-0.7450
273.7,-1.3040,-0.8000,-0.2375,-1.3140,-1.2665,-1.1890,-1.0775,-0.8550
276.2,-1.2480,-0.7830,-0.2405,-1.2570,-1.2135,-1.1440,-1.0445,-0.8390
278.7,-1.3590,-0.8430,-0.2675,-1.3720,-1.3305,-1.2570,-1.1435,-0.9130
281.2,-1.2320,-0.7830,-0.2465,-1.2410,-1.1995,-1.1330,-1.0355,-0.8340
283.7,-1.1250,-0.7280,-0.2355,-1.1280,-1.0825,-1.0160,-0.9295,-0.7530
286.2,-1.1520,-0.7410,-0.2425,-1.1530,-1.1015,-1.0300,-0.9385,-0.7590
288.7,-0.9470,-0.6480,-0.2205,-0.9430,-0.9045,-0.8550,-0.7925,-0.6600
291.2,-0.7880,-0.5540,-0.1855,-0.7810,-0.7475,-0.7080,-0.6595,-0.5570
293.7,-0.8320,-0.5860,-0.2065,-0.8270,-0.7935,-0.7510,-0.6995,-0.5900
296.2,-0.8550,-0.5970,-0.2115,-0.8500,-0.8135,-0.7680,-0.7125,-0.5970
298.7,-0.8630,-0.6030,-0.2175,-0.8590,-0.8215,-0.7750,-0.7185,-0.6020
301.2,-0.9070,-0.6290,-0.2285,-0.9060,-0.8685,-0.8190,-0.7555,-0.6250
303.7,-0.8130,-0.5770,-0.2155,-0.8090,-0.7755,-0.7330,-0.6815,-0.5730
306.2,-0.7590,-0.5480,-0.2105,-0.7550,-0.7255,-0.6870,-0.6415,-0.5460
308.7,-0.7440,-0.5400,-0.2125,-0.7400,-0.7105,-0.6740,-0.6305,-0.5370
311.2,-0.6460,-0.4820,-0.1965,-0.6400,-0.6155,-0.5870,-0.5545,-0.4820
313.7,-0.6300,-0.4730,-0.1965,-0.6250,-0.6015,-0.5740,-0.5425,-0.4730
316.2,-0.6030,-0.4550,-0.1915,-0.5980,-0.5755,-0.5500,-0.5205,-0.4550
318.7,-0.6790,-0.5130,-0.2255,-0.6750,-0.6525,-0.6240,-0.5905,-0.5150
321.2,-0.6440,-0.4850,-0.2125,-0.6390,-0.6145,-0.5860,-0.5525,-0.4820
323.7,-0.6710,-0.5090,-0.2295,-0.6670,-0.6445,-0.6160,-0.5825,-0.5090
326.2,-0.5920,-0.4490,-0.2045,-0.5850,-0.5605,-0.5340,-0.5045,-0.4440
328.7,-0.5770,-0.4390,-0.2035,-0.5700,-0.5455,-0.5200,-0.4925,-0.4350
331.2,-0.5800,-0.4410,-0.2065,-0.5730,-0.5485,-0.5220,-0.4945,-0.4360
333.7,-0.5880,-0.4500,-0.2165,-0.5810,-0.5565,-0.5310,-0.5035,-0.4450
336.2,-0.6070,-0.4660,-0.2285,-0.6010,-0.5775,-0.5510,-0.5235,-0.4620
338.7,-0.5920,-0.4540,-0.2235,-0.5860,-0.5615,-0.5360,-0.5075,-0.4480
341.2,-0.6110,-0.4690,-0.2325,-0.6050,-0.5815,-0.5540,-0.5245,-0.4620
343.7,-0.6060,-0.4630,-0.2305,-0.6000,-0.5755,-0.5470,-0.5165,-0.4540
346.2,-0.5910,-0.4530,-0.2305,-0.5840,-0.5595,-0.5330,-0.5045,-0.4450
348.7,-0.6050,-0.4700,-0.2445,-0.6010,-0.5785,-0.5530,-0.5255,-0.4650
351.2,-0.5940,-0.4620,-0.2425,-0.5890,-0.5665,-0.5420,-0.5145,-0.4560
353.7,-0.5600,-0.4340,-0.2305,-0.5530,-0.5295,-0.5050,-0.4795,-0.4260
356.2,-0.5880,-0.4580,-0.2455,-0.5820,-0.5585,-0.5320,-0.5045,-0.4460
358.7,-0.6120,-0.4790,-0.2595,-0.6070,-0.5835,-0.5570,-0.5275,-0.4670
361.2,-0.6010,-0.4720,-0.2585,-0.5960,-0.5745,-0.5480,-0.5195,-0.4600
363.6,-0.5440,-0.4290,-0.2385,-0.5390,-0.5185,-0.4950,-0.4705,-0.4180
366.1,-0.4970,-0.3950,-0.2225,-0.4910,-0.4725,-0.4530,-0.4325,-0.3890
368.7,-0.4900,-0.3920,-0.2275,-0.4850,-0.4685,-0.4490,-0.4295,-0.3880
371.2,-0.5230,-0.4190,-0.2395,-0.5210,-0.5035,-0.4830,-0.4595,-0.4100
373.7,-0.5820,-0.4540,-0.2335,-0.5820,-0.5625,-0.5360,-0.5035,-0.4360
376.2,-0.5330,-0.4150,-0.2165,-0.5310,-0.5105,-0.4860,-0.4575,-0.4000
378.7,-0.4690,-0.3490,-0.1495,-0.4660,-0.4435,-0.4170,-0.3885,-0.3300
381.2,-0.5030,-0.3640,-0.1325,-0.5020,-0.4775,-0.4470,-0.4115,-0.3390
383.7,-0.6150,-0.4640,-0.2215,-0.6160,-0.5915,-0.5590,-0.5215,-0.4430
386.2,-0.5150,-0.3530,-0.0975,-0.5130,-0.4825,-0.4460,-0.4045,-0.3220
388.7,-0.5050,-0.3820,-0.1845,-0.5020,-0.4795,-0.4520,-0.4225,-0.3620
391.2,-0.4910,-0.3480,-0.1045,-0.4920,-0.4685,-0.4380,-0.4015,-0.3240
393.7,-0.6330,-0.4710,-0.1745,-0.6390,-0.6215,-0.5930,-0.5525,-0.4590
396.2,-0.5400,-0.4250,-0.2095,-0.5420,-0.5265,-0.5040,-0.4755,-0.4130
398.7,-0.3370,-0.2430,-0.0725,-0.3360,-0.3205,-0.3010,-0.2785,-0.2280
401.2,-0.2690,-0.1830,-0.0195,-0.2680,-0.2535,-0.2350,-0.2135,-0.1670
403.7,-0.2770,-0.1910,-0.0265,-0.2770,-0.2635,-0.2450,-0.2225,-0.1750
406.2,-0.2750,-0.1920,-0.0305,-0.2750,-0.2625,-0.2440,-0.2235,-0.1760
408.7,-0.2550,-0.1850,-0.0535,-0.2540,-0.2425,-0.2270,-0.2105,-0.1730
411.2,-0.2540,-0.1950,-0.0855,-0.2530,-0.2425,-0.2300,-0.2165,-0.1860
413.7,-0.2550,-0.1810,-0.0365,-0.2550,-0.2425,-0.2270,-0.2085,-0.1670
416.2,-0.2370,-0.1640,-0.0245,-0.2360,-0.2225,-0.2070,-0.1885,-0.1490
418.7,-0.2520,-0.1780,-0.0355,-0.2510,-0.2395,-0.2230,-0.2045,-0.1640
421.2,-0.2390,-0.1660,-0.0295,-0.2370,-0.2245,-0.2080,-0.1905,-0.1500
423.7,-0.2430,-0.1720,-0.0365,-0.2420,-0.2295,-0.2150,-0.1965,-0.1570
426.2,-0.2410,-0.1710,-0.0395,-0.2400,-0.2285,-0.2130,-0.1945,-0.1560
428.7,-0.2320,-0.1640,-0.0385,-0.2310,-0.2185,-0.2040,-0.1865,-0.1500
431.2,-0.2170,-0.1570,-0.0415,-0.2160,-0.2045,-0.1910,-0.1765,-0.1430
433.7,-0.1830,-0.1460,-0.0825,-0.1810,-0.1745,-0.1670,-0.1585,-0.1420
436.2,-0.1450,-0.1020,-0.0165,-0.1440,-0.1365,-0.1260,-0.1155,-0.0920
438.7,-0.1600,-0.1130,-0.0165,-0.1590,-0.1505,-0.1400,-0.1285,-0.1020
441.2,-0.1540,-0.1090,-0.0165,-0.1540,-0.1465,-0.1360,-0.1255,-0.0990
443.7,-0.1360,-0.0940,-0.0075,-0.1360,-0.1285,-0.1200,-0.1095,-0.0850
446.2,-0.1200,-0.0820,-0.0015,-0.1200,-0.1145,-0.1060,-0.0965,-0.0740
448.7,-0.0940,-0.0610,0.0115,-0.0940,-0.0885,-0.0810,-0.0725,-0.0530
451.2,-0.0820,-0.0510,0.0155,-0.0820,-0.0775,-0.0700,-0.0625,-0.0450
453.7,-0.1000,-0.0700,-0.0005,-0.1000,-0.0965,-0.0910,-0.0835,-0.0650
456.2,-0.0800,-0.0520,0.0115,-0.0800,-0.0765,-0.0700,-0.0625,-0.0460
458.7,-0.0670,-0.0410,0.0175,-0.0670,-0.0625,-0.0570,-0.0505,-0.0350
461.2,-0.0640,-0.0380,0.0185,-0.0640,-0.0595,-0.0540,-0.0475,-0.0330
463.7,-0.0600,-0.0360,0.0185,-0.0600,-0.0565,-0.0510,-0.0445,-0.0300
466.2,-0.0590,-0.0340,0.0185,-0.0580,-0.0545,-0.0490,-0.0435,-0.0290
468.7,-0.0550,-0.0320,0.0175,-0.0550,-0.0505,-0.0460,-0.0405,-0.0270
471.2,-0.0580,-0.0360,0.0105,-0.0580,-0.0545,-0.0500,-0.0445,-0.0320
473.7,-0.0520,-0.0310,0.0145,-0.0520,-0.0485,-0.0440,-0.0395,-0.0270
476.2,-0.0460,-0.0250,0.0185,-0.0460,-0.0425,-0.0380,-0.0325,-0.0210
478.7,-0.0420,-0.0220,0.0175,-0.0420,-0.0385,-0.0340,-0.0295,-0.0190
481.2,-0.0440,-0.0240,0.0145,-0.0440,-0.0405,-0.0360,-0.0315,-0.0210
483.7,-0.0470,-0.0280,0.0055,-0.0470,-0.0435,-0.0390,-0.0355,-0.0260
486.2,-0.0620,-0.0530,-0.0435,-0.0610,-0.0605,-0.0590,-0.0575,-0.0560
488.7,-0.0460,-0.0300,0.0015,-0.0460,-0.0425,-0.0390,-0.0355,-0.0270
491.2,-0.0420,-0.0260,0.0075,-0.0410,-0.0385,-0.0350,-0.0315,-0.0220
493.7,-0.0340,-0.0180,0.0125,-0.0330,-0.0305,-0.0270,-0.0245,-0.0150
496.2,-0.0360,-0.0210,0.0105,-0.0360,-0.0335,-0.0300,-0.0265,-0.0170
498.7,-0.0540,-0.0360,-0.0035,-0.0540,-0.0505,-0.0470,-0.0435,-0.0330
502.5,-0.0590,-0.0410,-0.0095,-0.0590,-0.0555,-0.0520,-0.0485,-0.0380
507.5,-0.0500,-0.0340,-0.0055,-0.0500,-0.0465,-0.0430,-0.0395,-0.0310
512.5,-0.0630,-0.0460,-0.0175,-0.0620,-0.0585,-0.0550,-0.0505,-0.0420
517.5,-0.0840,-0.0660,-0.0355,-0.0840,-0.0805,-0.0760,-0.0725,-0.0620
522.5,-0.0650,-0.0500,-0.0265,-0.0640,-0.0615,-0.0580,-0.0545,-0.0470
527.5,-0.0380,-0.0300,-0.0135,-0.0380,-0.0365,-0.0350,-0.0335,-0.0280
532.5,-0.0140,-0.0110,-0.0015,-0.0140,-0.0135,-0.0130,-0.0125,-0.0100
537.5,-0.0030,-0.0020,0.0045,-0.0030,-0.0025,-0.0020,-0.0015,0.0000
542.5,-0.0080,-0.0070,-0.0025,-0.0080,-0.0085,-0.0080,-0.0075,-0.0060
547.5,-0.0040,-0.0030,-0.0015,-0.0040,-0.0035,-0.0040,-0.0035,-0.0030
552.5,0.0040,0.0030,0.0015,0.0040,0.0035,0.0040,0.0035,0.0030
557.5,-0.0010,-0.0020,-0.0045,-0.0010,-0.0015,-0.0010,-0.0025,-0.0020
562.5,0.0000,-0.0020,-0.0055,-0.0010,-0.0005,-0.0010,-0.0015,-0.0020
567.5,0.0020,-0.0020,-0.0075,0.0020,0.0015,0.0000,-0.0005,-0.0020
572.5,0.0100,0.0050,-0.0045,0.0100,0.0085,0.0080,0.0065,0.0040
577.5,0.0170,0.0090,-0.0025,0.0160,0.0145,0.0130,0.0115,0.0080
582.5,0.0210,0.0130,-0.0005,0.0210,0.0195,0.0180,0.0155,0.0120
587.5,0.0010,-0.0040,-0.0155,0.0010,-0.0005,-0.0010,-0.0025,-0.0050
592.5,-0.0010,-0.0060,-0.0195,-0.0020,-0.0025,-0.0030,-0.0055,-0.0080
597.5,0.0100,0.0010,-0.0155,0.0100,0.0085,0.0060,0.0035,-0.0010
602.5,0.0160,0.0050,-0.0135,0.0160,0.0135,0.0120,0.0085,0.0040
607.5,0.0210,0.0080,-0.0125,0.0200,0.0185,0.0160,0.0125,0.0070
612.5,0.0070,-0.0050,-0.0255,0.0070,0.0045,0.0030,-0.0005,-0.0060
617.5,-0.0050,-0.0150,-0.0355,-0.0050,-0.0075,-0.0090,-0.0125,-0.0180
622.5,-0.0160,-0.0250,-0.0465,-0.0160,-0.0185,-0.0200,-0.0235,-0.0290
627.5,-0.0140,-0.0250,-0.0475,-0.0150,-0.0165,-0.0190,-0.0225,-0.0280
632.5,-0.0030,-0.0170,-0.0425,-0.0040,-0.0065,-0.0090,-0.0125,-0.0200
637.5,0.0070,-0.0090,-0.0365,0.0060,0.0035,0.0000,-0.0035,-0.0120
642.5,0.0110,-0.0060,-0.0345,0.0100,0.0075,0.0040,0.0005,-0.0080
647.5,0.0130,-0.0060,-0.0355,0.0130,0.0095,0.0060,0.0015,-0.0070
652.5,0.0150,-0.0060,-0.0385,0.0140,0.0115,0.0080,0.0025,-0.0070
657.5,0.0080,-0.0150,-0.0545,0.0070,0.0035,-0.0010,-0.0075,-0.0190
662.5,0.0070,-0.0130,-0.0455,0.0060,0.0025,-0.0010,-0.0055,-0.0150
667.5,0.0020,-0.0160,-0.0495,0.0010,-0.0015,-0.0050,-0.0095,-0.0190
672.5,0.0000,-0.0180,-0.0515,0.0000,-0.0035,-0.0070,-0.0115,-0.0210
677.5,0.0020,-0.0180,-0.0525,0.0010,-0.0025,-0.0060,-0.0115,-0.0210
682.5,0.0070,-0.0150,-0.0515,0.0060,0.0025,-0.0010,-0.0065,-0.0170
687.5,0.0110,-0.0130,-0.0505,0.0110,0.0065,0.0030,-0.0025,-0.0140
692.5,0.0130,-0.0130,-0.0515,0.0130,0.0095,0.0040,-0.0015,-0.0130
697.5,0.0130,-0.0150,-0.0545,0.0130,0.0085,0.0040,-0.0025,-0.0150
702.5,0.0060,-0.0220,-0.0615,0.0060,0.0015,-0.0030,-0.0095,-0.0220
707.5,-0.0110,-0.0360,-0.0755,-0.0120,-0.0155,-0.0210,-0.0265,-0.0380
715.0,-0.0330,-0.0540,-0.0925,-0.0340,-0.0375,-0.0420,-0.0475,-0.0580
725.0,-0.0110,-0.0410,-0.0835,-0.0110,-0.0155,-0.0210,-0.0275,-0.0410
735.0,0.0180,-0.0220,-0.0695,0.0180,0.0125,0.0060,-0.0015,-0.0180
745.0,0.0170,-0.0250,-0.0735,0.0170,0.0115,0.0040,-0.0035,-0.0210
755.0,0.0110,-0.0290,-0.0775,0.0120,0.0055,-0.0010,-0.0085,-0.0250
765.0,0.0030,-0.0370,-0.0865,0.0040,-0.0025,-0.0090,-0.0165,-0.0340
775.0,-0.0030,-0.0420,-0.0925,-0.0030,-0.0085,-0.0150,-0.0225,-0.0400
785.0,-0.0080,-0.0460,-0.0975,-0.0080,-0.0135,-0.0200,-0.0275,-0.0450
795.0,-0.0090,-0.0530,-0.1055,-0.0090,-0.0155,-0.0230,-0.0305,-0.0490
805.0,-0.0120,-0.0600,-0.1155,-0.0110,-0.0175,-0.0250,-0.0345,-0.0540
815.2,-0.0110,-0.0650,-0.1215,-0.0100,-0.0165,-0.0250,-0.0345,-0.0560
825.2,-0.0130,-0.0670,-0.1255,-0.0110,-0.0185,-0.0270,-0.0365,-0.0580
835.0,-0.0170,-0.0710,-0.1285,-0.0160,-0.0235,-0.0320,-0.0405,-0.0620
845.0,-0.0220,-0.0760,-0.1345,-0.0220,-0.0295,-0.0370,-0.0465,-0.0680
855.0,-0.0500,-0.1030,-0.1615,-0.0490,-0.0565,-0.0640,-0.0735,-0.0950
865.0,-0.0420,-0.0970,-0.1585,-0.0410,-0.0485,-0.0570,-0.0665,-0.0890
875.0,-0.0180,-0.0780,-0.1405,-0.0170,-0.0245,-0.0340,-0.0445,-0.0680
885.0,-0.0210,-0.0800,-0.1425,-0.0200,-0.0275,-0.0370,-0.0475,-0.0710
895.0,-0.0240,-0.0820,-0.1425,-0.0230,-0.0305,-0.0400,-0.0495,-0.0720
905.0,-0.0260,-0.0890,-0.1525,-0.0250,-0.0325,-0.0420,-0.0525,-0.0780
915.0,-0.0510,-0.1160,-0.1795,-0.0490,-0.0575,-0.0670,-0.0775,-0.1030
925.0,-0.0630,-0.1290,-0.1965,-0.0620,-0.0705,-0.0800,-0.0915,-0.1170
935.0,-0.0620,-0.1260,-0.1905,-0.0610,-0.0695,-0.0790,-0.0895,-0.1150
945.0,-0.0610,-0.1270,-0.1935,-0.0590,-0.0685,-0.0780,-0.0895,-0.1150
955.0,-0.0640,-0.1320,-0.2015,-0.0620,-0.0705,-0.0810,-0.0925,-0.1190
965.0,-0.0720,-0.1410,-0.2085,-0.0700,-0.0795,-0.0900,-0.1005,-0.1280
975.0,-0.0790,-0.1480,-0.2155,-0.0770,-0.0855,-0.0960,-0.1075,-0.1340
985.0,-0.0760,-0.1460,-0.2135,-0.0740,-0.0825,-0.0930,-0.1045,-0.1320
995.0,-0.0770,-0.1470,-0.2155,-0.0750,-0.0835,-0.0940,-0.1055,-0.1330
1005.0,-0.0800,-0.1510,-0.2225,-0.0770,-0.0865,-0.0970,-0.1095,-0.1370
1015.0,-0.0830,-0.1550,-0.2245,-0.0810,-0.0905,-0.1010,-0.1125,-0.1400
1025.0,-0.0870,-0.1600,-0.2305,-0.0850,-0.0935,-0.1050,-0.1165,-0.1450
1035.0,-0.0910,-0.1660,-0.2365,-0.0890,-0.0985,-0.1090,-0.1215,-0.1500
1045.0,-0.0950,-0.1710,-0.2425,-0.0930,-0.1025,-0.1130,-0.1255,-0.1540
1055.0,-0.1000,-0.1760,-0.2485,-0.0970,-0.1065,-0.1180,-0.1295,-0.1590
1065.0,-0.1040,-0.1820,-0.2545,-0.1020,-0.1115,-0.1230,-0.1355,-0.1650
1075.0,-0.1090,-0.1870,-0.2605,-0.1060,-0.1155,-0.1270,-0.1395,-0.1690
1085.0,-0.1130,-0.1930,-0.2665,-0.1110,-0.1205,-0.1320,-0.1445,-0.1750
1095.0,-0.1180,-0.1990,-0.2755,-0.1150,-0.1255,-0.1370,-0.1495,-0.1810
1105.0,-0.1210,-0.2020,-0.2775,-0.1180,-0.1285,-0.1400,-0.1525,-0.1830
1115.0,-0.1260,-0.2080,-0.2835,-0.1230,-0.1325,-0.1450,-0.1575,-0.1880
1125.0,-0.1310,-0.2140,-0.2895,-0.1270,-0.1375,-0.1500,-0.1625,-0.1940
1135.0,-0.1350,-0.2190,-0.2955,-0.1320,-0.1425,-0.1540,-0.1675,-0.1990
1145.0,-0.1400,-0.2250,-0.3015,-0.1360,-0.1465,-0.1590,-0.1715,-0.2040
1155.0,-0.1440,-0.2300,-0.3075,-0.1410,-0.1515,-0.1630,-0.1765,-0.2090
1165.0,-0.1490,-0.2360,-0.3145,-0.1460,-0.1565,-0.1690,-0.1815,-0.2150
1175.0,-0.1540,-0.2410,-0.3205,-0.1500,-0.1605,-0.1730,-0.1865,-0.2190
1185.0,-0.1590,-0.2470,-0.3265,-0.1550,-0.1665,-0.1790,-0.1915,-0.2250
1195.0,-0.1630,-0.2530,-0.3325,-0.1600,-0.1705,-0.1830,-0.1965,-0.2300
1205.0,-0.1680,-0.2580,-0.3385,-0.1640,-0.1755,-0.1880,-0.2015,-0.2350
1215.0,-0.1730,-0.2640,-0.3445,-0.1690,-0.1795,-0.1920,-0.2065,-0.2400
1225.0,-0.1770,-0.2690,-0.3505,-0.1740,-0.1845,-0.1970,-0.2115,-0.2450
1235.0,-0.1820,-0.2750,-0.3565,-0.1780,-0.1895,-0.2020,-0.2165,-0.2510
1245.0,-0.1870,-0.2800,-0.3625,-0.1830,-0.1945,-0.2070,-0.2215,-0.2560
1255.0,-0.1920,-0.2860,-0.3685,-0.1880,-0.1995,-0.2120,-0.2265,-0.2610
1265.0,-0.1970,-0.2920,-0.3745,-0.1930,-0.2045,-0.2170,-0.2315,-0.2670
1275.0,-0.2020,-0.2970,-0.3805,-0.1980,-0.2085,-0.2220,-0.2365,-0.2720
1285.0,-0.2080,-0.3050,-0.3905,-0.2040,-0.2155,-0.2290,-0.2435,-0.2800
1295.0,-0.2120,-0.3090,-0.3925,-0.2080,-0.2185,-0.2320,-0.2465,-0.2830
1305.0,-0.2170,-0.3150,-0.3985,-0.2120,-0.2235,-0.2370,-0.2515,-0.2880
1315.0,-0.2220,-0.3200,-0.4055,-0.2180,-0.2295,-0.2420,-0.2565,-0.2930
1325.0,-0.2270,-0.3260,-0.4115,-0.2230,-0.2345,-0.2480,-0.2625,-0.2990
1335.0,-0.2320,-0.3320,-0.4175,-0.2280,-0.2395,-0.2530,-0.2675,-0.3040
1345.0,-0.2370,-0.3380,-0.4235,-0.2320,-0.2445,-0.2580,-0.2725,-0.3100
1355.0,-0.2420,-0.3430,-0.4295,-0.2380,-0.2495,-0.2630,-0.2775,-0.3150
1365.0,-0.2470,-0.3490,-0.4355,-0.2430,-0.2545,-0.2680,-0.2835,-0.3210
1375.0,-0.2530,-0.3550,-0.4425,-0.2480,-0.2595,-0.2730,-0.2885,-0.3260
